postcode	suburb	no_permits	opacity	type	cost_of_works
3301	BOCHARA	15	0.0300	Rural	1578433
3302	BRANXHOLME	8	0.0160	Rural	1097145
3303	BREAKAWAY CREEK	4	0.0080	Rural	355000
3304	BESSIEBELLE	28	0.0560	Rural	5004708
3305	BOLWARRA	281	0.5620	Rural	41602166
3309	DIGBY	1	0.0020	Rural	440000
3310	MERINO	6	0.0120	Rural	1058985
3311	CASTERTON	33	0.0660	Rural	4115399
3312	DUNROBIN	9	0.0180	Rural	387448
3314	BULART	9	0.0180	Rural	647784
3315	COLERAINE	25	0.0500	Rural	816148
3317	HARROW	3	0.0060	Rural	56275
3318	EDENHOPE	26	0.0520	Rural	1731859
3319	APSLEY	4	0.0080	Rural	430091
3321	INVERLEIGH	52	0.1040	Rural	6144920
3322	CRESSY	4	0.0080	Rural	214645
3324	LISMORE	16	0.0320	Rural	1461612
3325	DERRINALLUM	11	0.0220	Rural	1242722
3328	TEESDALE	55	0.1100	Rural	8096138
3329	SHELFORD	2	0.0040	Rural	284437
3330	ROKEWOOD	5	0.0100	Rural	228323
3331	BANNOCKBURN	216	0.4320	Rural	31667731
3332	LETHBRIDGE	33	0.0660	Rural	2608530
3333	MEREDITH	22	0.0440	Rural	2590095
3334	CARGERIE	17	0.0340	Rural	1173836
3335	PLUMPTON	17	0.0340	Metropolitan	1771200
3337	KURUNJANG	897	1.7940	Metropolitan	153489236
3338	Bacchus Marsh	759	1.5180	Metropolitan	147180003
3340	BACCHUS MARSH	589	1.1780	Metropolitan	100628110
3341	DALES CREEK	25	0.0500	Rural	2902310
